Field name;Obligatory;Type;Constraints
Positions-Nr.;TRUE;Text;max 40 characters
Kurztext DE;TRUE;Text;max 40 characters
Kurztext FR;TRUE;Text;max 40 characters
Kurztext EN;TRUE;Text;max 40 characters
Grunddatentext DE (1. Zeile);TRUE;Text;
Grunddatentext DE (2. Zeile);FALSE;Text;
Grunddatentext FR (1. Zeile);TRUE;Text;
Grunddatentext FR (2. Zeile);FALSE;Text;
Grunddatentext EN (1. Zeile);TRUE;Text;
Grunddatentext EN (2. Zeile);FALSE;Text;
Basismengeneinheit;TRUE;Text;
Bruttogewicht;TRUE;Number;
Gewichtseinheit;TRUE;Number;
Nettogewicht;FALSE;Number;
Grösse / Abmessung;FALSE;Number;
EAN / UPC Code;FALSE;Text;13 characaters
Nato Stock Number;FALSE;Text;16 characaters
NSN Gruppe / Klasse;FALSE;Text;4 characaters
Nato Versorgungs-Nr.;FALSE;Text;9 characaters
Herstellerteilenummer;TRUE;Text;max 40 characters
Normbezeichnung;FALSE;Text;max 18 characters
Gefahrgutkennzeichen;FALSE;Text;
Instandsetzbar;TRUE;Boolean;
Chargenpflicht;TRUE;Boolean;
Bestellmengeneinheit;FALSE;Positive integer;
Mindestbestellmenge;FALSE;Positive integer;
Lieferzeit;TRUE;Positive integer;
Einheit (L / B / H);TRUE;Positive integer;
Länge;TRUE;Positive integer;
Breite;TRUE;Positive integer;
Höhe;TRUE;Positive integer;
Preis;TRUE;Positive integer;
Währung;TRUE;Text;
Preiseinheit;TRUE;Number;
Lagerfähigkeit;FALSE;Positive integer;
Exportkontrollauflage;FALSE;Boolean;
CAGE Code;FALSE;Text;5 characaters
Hersteller Name;TRUE;Text;
Hersteller Adresse;TRUE;Text;
Hersteller PLZ ;TRUE;Text;
Hersteller Ort;TRUE;Text;
Revision;FALSE;Text;max 30 characters
Bemerkung;FALSE;Text;
BEGRU;TRUE;Text;
Materialart (Grunddaten);TRUE;Text;
Sparte;TRUE;Text;
Produkthierarchie;TRUE;Text;4 characaters
Materialzustandsverwaltung;TRUE;Text;
Rückführungscode;FALSE;Text;
Serialnummerprofil;FALSE;Text;
Spare Part Class Code;TRUE;Text;
Hersteller-Nr. (GP);TRUE;Text;10 characaters
Warengruppe ;TRUE;Text;9 characaters
Übersetzungsstatus;TRUE;Text;
Endbevorratet;FALSE;Text;5 characaters
Revision (Fremd);FALSE;Text;10 characaters
Revision (Eigen);FALSE;Text;10 characaters
Zertifiziert für Flug;FALSE;Boolean;
A-Nummer;FALSE;Text;
Verteilung an PSD;FALSE;Boolean;
Verteilung an RUAG;FALSE;Boolean;
Werk (1);TRUE;Text;
Werk (2);FALSE;Text;
Werk (3);FALSE;Text;
Werk (4);FALSE;Text;
Allgemeine Positionstypengruppe;TRUE;Text;
Verkaufsorg.;TRUE;Text;
Vertriebsweg;TRUE;Text;
Führendes Material;FALSE;Text;"""NNNN.NNNN"""
Auszeichnungsfeld;FALSE;Text;"""NNNNNNNN-N"""
CPV-Code;TRUE;Text;"NNNNNNNN-N"""
Fertigungssteuerer;FALSE;Text;
Kennzeichen komplexes System;FALSE;Text;
Sonderablauf;FALSE;Text;
Temperaturbedingung;FALSE;Text;
Bewertungsklasse;TRUE;Text;
Systemmanager;FALSE;Text;max 30 characters
Kennziffer BAMF;FALSE;Text;max 30 characters
Mietrelevanz;FALSE;Text;
Next Higher Assembly;FALSE;Text;max 30 characters
Nachschubklasse;FALSE;Text;max 30 characters
Verteilung APM Kerda;FALSE;Boolean;
Verteilung SVSAA;FALSE;Boolean;
Verteilung CHEOPS;FALSE;Boolean;
Zuteilung;TRUE;Text;
Ausprägung;TRUE;Text;
;;;
